NCBI_Id,GeneID
LOC542155,Zm00001d046767
LOC542156,Zm00001d032230
LOC542158,Zm00001d008641
LOC542159,Zm00001d041679
LOC542160,Zm00001d050616
LOC542162,Zm00001d014903
LOC542163,Zm00001d054067
LOC542164,Zm00001d011876
an2,Zm00001d029648
LOC542166,Zm00001d015459
LOC542168,Zm00001d031958
LOC542169,Zm00001d012969
LOC542170,Zm00001d014671
LOC542172,Zm00001d040278
LOC542174,Zm00001d025063
LOC542176,Zm00001d000302
LOC542177,Zm00001d040446
LOC542179,Zm00001d014343
pht1,Zm00001d014116
LOC542181,Zm00001d034018
LOC542182,Zm00001d010462
LOC542184,Zm00001d009103
LOC542185,Zm00001d045544
BA1,Zm00001d042988
LOC542187,Zm00001d034571
LOC542188,Zm00001d043992
LOC542189,Zm00001d021136
LOC542190,Zm00001d016783
LOC542191,Zm00001d049042
LOC542192,Zm00001d035817
LOC542193,Zm00001d038704
LOC542194,Zm00001d031688
LOC542195,Zm00001d003379
LOC542197,Zm00001d017560
LOC542198,Zm00001d021403
LOC542199,Zm00001d002654
LOC542202,Zm00001d020552
LOC542205,Zm00001d012820
LOC542206,Zm00001d010406
mbd113,Zm00001d025128
mbd115,Zm00001d033204
LOC542209,Zm00001d012764
LOC542211,Zm00001d037950
LOC542212,Zm00001d052595
LOC542213,Zm00001d043175
LOC542214,Zm00001d017958
LOC542215,Zm00001d048050
LOC542216,Zm00001d038870
LOC542217,Zm00001d007383
LOC542220,Zm00001d034420
LOC542221,Zm00001d038625
LOC542222,Zm00001d047743
LOC542224,Zm00001d002540
LOC542225,Zm00001d036416
LOC542226,Zm00001d006479
LOC542227,Zm00001d028582
LOC542228,Zm00001d034387
LOC542229,Zm00001d013098
LOC542230,Zm00001d027511
LOC542232,Zm00001d041711
LOC542233,Zm00001d000316
LOC542237,Zm00001d013074
LOC542238,Zm00001d016684
LOC542239,Zm00001d043158
LOC542240,Zm00001d033472
LOC542241,Zm00001d013631
LOC542243,Zm00001d014842
LOC542244,Zm00001d037737
LOC542245,Zm00001d053597
LOC542246,Zm00001d028806
LOC542247,Zm00001d047253
LOC542248,Zm00001d006651
LOC542249,Zm00001d050133
LOC542250,Zm00001d033580
LOC542251,Zm00001d051420
LOC542252,Zm00001d003247
an1,Zm00001d032961
LOC542254,Zm00001d041804
LOC542255,Zm00001d018742
LOC542256,Zm00001d017614
LOC542257,Zm00001d007949
LOC542258,Zm00001d017274
LOC542260,Zm00001d022505
LOC542261,Zm00001d042453
gz16,Zm00001d005793
LOC542263,Zm00001d002768
LOC542264,Zm00001d052164
LOC542267,Zm00001d038929
LOC542269,Zm00001d051898
LOC542270,Zm00001d027373
LOC542271,Zm00001d005135
LOC542272,Zm00001d028850
LOC542276,Zm00001d034760
LOC542277,Zm00001d019648
LOC542278,Zm00001d049995
LOC542279,Zm00001d021703
LOC542280,Zm00001d037985
LOC542284,Zm00001d015300
LOC542285,Zm00001d007446
LOC542286,Zm00001d003395
LOC542290,Zm00001d027488
LOC542291,Zm00001d003401
LOC542292,Zm00001d025287
LOC542293,Zm00001d047548
LOC542294,Zm00001d023904
LOC542295,Zm00001d032385
gz27,Zm00001d020592
LOC542298,-
LOC542299,Zm00001d021901
LOC542301,Zm00001d051591
LOC542303,Zm00001d007775
LOC542304,Zm00001d023529
LOC542305,Zm00001d036360
LOC542307,Zm00001d010656
LOC542309,Zm00001d039065
LOC542310,Zm00001d033422
LOC542311,Zm00001d024839
LOC542312,Zm00001d014614
LOC542313,Zm00001d034256
LOC542314,Zm00001d016708
LOC542315,-
LOC542316,Zm00001d030373
LOC542318,Zm00001d049753
LOC542319,Zm00001d004125
LOC542320,Zm00001d048998
LOC542321,Zm00001d026599
LOC542322,Zm00001d053838
LOC542323,Zm00001d009653
LOC542324,Zm00001d014947
LOC542325,Zm00001d041781
LOC542326,Zm00001d023955
LOC542327,Zm00001d053765
LOC542328,Zm00001d015569
LOC542329,-
LOC542331,Zm00001d037962
LOC542332,Zm00001d033585
LOC542333,Zm00001d051001
LOC542334,Zm00001d027871
LOC542336,Zm00001d009011
LOC542337,Zm00001d009652
LOC542338,Zm00001d001899
LOC542339,Zm00001d014679
LOC542340,Zm00001d010128
LOC542341,Zm00001d053633
LOC542342,Zm00001d003817
LOC542343,Zm00001d044686
LOC542344,Zm00001d020004
LOC542345,Zm00001d008221
LOC542346,Zm00001d023425
LOC542347,Zm00001d040686
LOC542348,Zm00001d036480
LOC542349,Zm00001d041660
LOC542350,Zm00001d047522
LOC542351,Zm00001d019169
LOC542352,Zm00001d018738
LOC542353,-
LOC542354,Zm00001d021729
LOC542355,Zm00001d038832
LOC542356,Zm00001d043609
LOC542357,Zm00001d051995
LOC542358,Zm00001d033746
LOC542359,Zm00001d017111
LOC542360,Zm00001d029457
LOC542362,Zm00001d000418
LOC542363,Zm00001d033931
LOC542364,Zm00001d049059
LOC542365,Zm00001d045042
LOC542366,Zm00001d012675
LOC542367,Zm00001d049641
LOC542368,Zm00001d003429
LOC542369,Zm00001d014848
LOC542370,-
LOC542371,-
LOC542372,Zm00001d046170
LOC542373,Zm00001d037894
LOC542374,Zm00001d031899
LOC542375,Zm00001d018971
LOC542376,Zm00001d010588
LOC542378,Zm00001d037783
LOC542379,Zm00001d046898
LOC542380,Zm00001d010275
LOC542382,Zm00001d034413
LOC542384,Zm00001d037988
LOC542385,Zm00001d013067
LOC542386,Zm00001d017857
LOC542387,-
LOC542388,Zm00001d028693
LOC542389,Zm00001d051685
